"SUBJECT","LOCATION","FREQUENCY","TIME","Unit Code","PowerCode Code","Reference Period Code","Value","Flag Codes"
"CCUS","TUR","M","1990-01","NATUSD","0",,0.002330423,
"CCUS","TUR","M","1990-02","NATUSD","0",,0.002376285,
"CCUS","TUR","M","1990-03","NATUSD","0",,0.002452859,
"CCUS","TUR","M","1990-04","NATUSD","0",,0.002499662,
"CCUS","TUR","M","1990-05","NATUSD","0",,0.002547191,
"CCUS","TUR","M","1990-06","NATUSD","0",,0.002626357,
"CCUS","TUR","M","1990-07","NATUSD","0",,0.002659605,
"CCUS","TUR","M","1990-08","NATUSD","0",,0.002677122,
"CCUS","TUR","M","1990-09","NATUSD","0",,0.00271611,
"CCUS","TUR","M","1990-10","NATUSD","0",,0.002738709,
"CCUS","TUR","M","1990-11","NATUSD","0",,0.002781291,
"CCUS","TUR","M","1990-12","NATUSD","0",,0.002871635,
"CCUS","TUR","M","1991-01","NATUSD","0",,0.002990009,
"CCUS","TUR","M","1991-02","NATUSD","0",,0.003154975,
"CCUS","TUR","M","1991-03","NATUSD","0",,0.003536948,
"CCUS","TUR","M","1991-04","NATUSD","0",,0.003784732,
"CCUS","TUR","M","1991-05","NATUSD","0",,0.003977765,
"CCUS","TUR","M","1991-06","NATUSD","0",,0.004223095,
"CCUS","TUR","M","1991-07","NATUSD","0",,0.004373331,
"CCUS","TUR","M","1991-08","NATUSD","0",,0.004508291,
"CCUS","TUR","M","1991-09","NATUSD","0",,0.004642843,
"CCUS","TUR","M","1991-10","NATUSD","0",,0.004843344,
"CCUS","TUR","M","1991-11","NATUSD","0",,0.004942243,
"CCUS","TUR","M","1991-12","NATUSD","0",,0.005048891,
"CCUS","TUR","M","1992-01","NATUSD","0",,0.005296368,
"CCUS","TUR","M","1992-02","NATUSD","0",,0.00566306,
"CCUS","TUR","M","1992-03","NATUSD","0",,0.006088477,
"CCUS","TUR","M","1992-04","NATUSD","0",,0.006416809,
"CCUS","TUR","M","1992-05","NATUSD","0",,0.006705857,
"CCUS","TUR","M","1992-06","NATUSD","0",,0.00687577,
"CCUS","TUR","M","1992-07","NATUSD","0",,0.006938413,
"CCUS","TUR","M","1992-08","NATUSD","0",,0.007088472,
"CCUS","TUR","M","1992-09","NATUSD","0",,0.007263032,
"CCUS","TUR","M","1992-10","NATUSD","0",,0.007536245,
"CCUS","TUR","M","1992-11","NATUSD","0",,0.008109353,
"CCUS","TUR","M","1992-12","NATUSD","0",,0.008344639,
"CCUS","TUR","M","1993-01","NATUSD","0",,0.008699575,
"CCUS","TUR","M","1993-02","NATUSD","0",,0.00903881,
"CCUS","TUR","M","1993-03","NATUSD","0",,0.009366909,
"CCUS","TUR","M","1993-04","NATUSD","0",,0.009528895,
"CCUS","TUR","M","1993-05","NATUSD","0",,0.0099543,
"CCUS","TUR","M","1993-06","NATUSD","0",,0.01047432,
"CCUS","TUR","M","1993-07","NATUSD","0",,0.01117174,
"CCUS","TUR","M","1993-08","NATUSD","0",,0.01162933,
"CCUS","TUR","M","1993-09","NATUSD","0",,0.01185132,
"CCUS","TUR","M","1993-10","NATUSD","0",,0.01250016,
"CCUS","TUR","M","1993-11","NATUSD","0",,0.01334821,
"CCUS","TUR","M","1993-12","NATUSD","0",,0.01400979,
"CCUS","TUR","M","1994-01","NATUSD","0",,0.01516387,
"CCUS","TUR","M","1994-02","NATUSD","0",,0.01770449,
"CCUS","TUR","M","1994-03","NATUSD","0",,0.02058727,
"CCUS","TUR","M","1994-04","NATUSD","0",,0.03330299,
"CCUS","TUR","M","1994-05","NATUSD","0",,0.03377414,
"CCUS","TUR","M","1994-06","NATUSD","0",,0.03172664,
"CCUS","TUR","M","1994-07","NATUSD","0",,0.03101057,
"CCUS","TUR","M","1994-08","NATUSD","0",,0.03177261,
"CCUS","TUR","M","1994-09","NATUSD","0",,0.03397105,
"CCUS","TUR","M","1994-10","NATUSD","0",,0.0348597,
"CCUS","TUR","M","1994-11","NATUSD","0",,0.03628015,
"CCUS","TUR","M","1994-12","NATUSD","0",,0.03718432,
"CCUS","TUR","M","1995-01","NATUSD","0",,0.03984776,
"CCUS","TUR","M","1995-02","NATUSD","0",,0.04102515,
"CCUS","TUR","M","1995-03","NATUSD","0",,0.04172283,
"CCUS","TUR","M","1995-04","NATUSD","0",,0.04227521,
"CCUS","TUR","M","1995-05","NATUSD","0",,0.04305055,
"CCUS","TUR","M","1995-06","NATUSD","0",,0.04320746,
"CCUS","TUR","M","1995-07","NATUSD","0",,0.04445865,
"CCUS","TUR","M","1995-08","NATUSD","0",,0.04664873,
"CCUS","TUR","M","1995-09","NATUSD","0",,0.04778786,
"CCUS","TUR","M","1995-10","NATUSD","0",,0.04998266,
"CCUS","TUR","M","1995-11","NATUSD","0",,0.05234414,
"CCUS","TUR","M","1995-12","NATUSD","0",,0.05651029,
"CCUS","TUR","M","1996-01","NATUSD","0",,0.0605832,
"CCUS","TUR","M","1996-02","NATUSD","0",,0.06409203,
"CCUS","TUR","M","1996-03","NATUSD","0",,0.06827638,
"CCUS","TUR","M","1996-04","NATUSD","0",,0.07286759,
"CCUS","TUR","M","1996-05","NATUSD","0",,0.07667363,
"CCUS","TUR","M","1996-06","NATUSD","0",,0.07962073,
"CCUS","TUR","M","1996-07","NATUSD","0",,0.08270985,
"CCUS","TUR","M","1996-08","NATUSD","0",,0.08494627,
"CCUS","TUR","M","1996-09","NATUSD","0",,0.08882224,
"CCUS","TUR","M","1996-10","NATUSD","0",,0.09381004,
"CCUS","TUR","M","1996-11","NATUSD","0",,0.09844067,
"CCUS","TUR","M","1996-12","NATUSD","0",,0.1045294,
"CCUS","TUR","M","1997-01","NATUSD","0",,0.1121268,
"CCUS","TUR","M","1997-02","NATUSD","0",,0.1189672,
"CCUS","TUR","M","1997-03","NATUSD","0",,0.1248865,
"CCUS","TUR","M","1997-04","NATUSD","0",,0.1311486,
"CCUS","TUR","M","1997-05","NATUSD","0",,0.1371437,
"CCUS","TUR","M","1997-06","NATUSD","0",,0.1440793,
"CCUS","TUR","M","1997-07","NATUSD","0",,0.1531792,
"CCUS","TUR","M","1997-08","NATUSD","0",,0.1632735,
"CCUS","TUR","M","1997-09","NATUSD","0",,0.1701281,
"CCUS","TUR","M","1997-10","NATUSD","0",,0.1780614,
"CCUS","TUR","M","1997-11","NATUSD","0",,0.1871182,
"CCUS","TUR","M","1997-12","NATUSD","0",,0.1990265,
"CCUS","TUR","M","1998-01","NATUSD","0",,0.211941,
"CCUS","TUR","M","1998-02","NATUSD","0",,0.2231303,
"CCUS","TUR","M","1998-03","NATUSD","0",,0.2354302,
"CCUS","TUR","M","1998-04","NATUSD","0",,0.2456881,
"CCUS","TUR","M","1998-05","NATUSD","0",,0.252153,
"CCUS","TUR","M","1998-06","NATUSD","0",,0.2606682,
"CCUS","TUR","M","1998-07","NATUSD","0",,0.2682624,
"CCUS","TUR","M","1998-08","NATUSD","0",,0.2733205,
"CCUS","TUR","M","1998-09","NATUSD","0",,0.2752604,
"CCUS","TUR","M","1998-10","NATUSD","0",,0.2789184,
"CCUS","TUR","M","1998-11","NATUSD","0",,0.294292,
"CCUS","TUR","M","1998-12","NATUSD","0",,0.3066068,
"CCUS","TUR","M","1999-01","NATUSD","0",,0.3218575,
"CCUS","TUR","M","1999-02","NATUSD","0",,0.3417504,
"CCUS","TUR","M","1999-03","NATUSD","0",,0.3614579,
"CCUS","TUR","M","1999-04","NATUSD","0",,0.3803717,
"CCUS","TUR","M","1999-05","NATUSD","0",,0.3951297,
"CCUS","TUR","M","1999-06","NATUSD","0",,0.4124038,
"CCUS","TUR","M","1999-07","NATUSD","0",,0.4263495,
"CCUS","TUR","M","1999-08","NATUSD","0",,0.4367409,
"CCUS","TUR","M","1999-09","NATUSD","0",,0.4549657,
"CCUS","TUR","M","1999-10","NATUSD","0",,0.4694352,
"CCUS","TUR","M","1999-11","NATUSD","0",,0.4989071,
"CCUS","TUR","M","1999-12","NATUSD","0",,0.5284388,
"CCUS","TUR","M","2000-01","NATUSD","0",,0.5448025,
"CCUS","TUR","M","2000-02","NATUSD","0",,0.5630395,
"CCUS","TUR","M","2000-03","NATUSD","0",,0.5800687,
"CCUS","TUR","M","2000-04","NATUSD","0",,0.5954062,
"CCUS","TUR","M","2000-05","NATUSD","0",,0.6173652,
"CCUS","TUR","M","2000-06","NATUSD","0",,0.6158698,
"CCUS","TUR","M","2000-07","NATUSD","0",,0.6272771,
"CCUS","TUR","M","2000-08","NATUSD","0",,0.6450876,
"CCUS","TUR","M","2000-09","NATUSD","0",,0.6645203,
"CCUS","TUR","M","2000-10","NATUSD","0",,0.6767612,
"CCUS","TUR","M","2000-11","NATUSD","0",,0.6840573,
"CCUS","TUR","M","2000-12","NATUSD","0",,0.6776482,
"CCUS","TUR","M","2001-01","NATUSD","0",,0.6709613,
"CCUS","TUR","M","2001-02","NATUSD","0",,0.7528238,
"CCUS","TUR","M","2001-03","NATUSD","0",,0.9590273,
"CCUS","TUR","M","2001-04","NATUSD","0",,1.214425,
"CCUS","TUR","M","2001-05","NATUSD","0",,1.139215,
"CCUS","TUR","M","2001-06","NATUSD","0",,1.218833,
"CCUS","TUR","M","2001-07","NATUSD","0",,1.32375,
"CCUS","TUR","M","2001-08","NATUSD","0",,1.399804,
"CCUS","TUR","M","2001-09","NATUSD","0",,1.473325,
"CCUS","TUR","M","2001-10","NATUSD","0",,1.6065,
"CCUS","TUR","M","2001-11","NATUSD","0",,1.525364,
"CCUS","TUR","M","2001-12","NATUSD","0",,1.455194,
"CCUS","TUR","M","2002-01","NATUSD","0",,1.374773,
"CCUS","TUR","M","2002-02","NATUSD","0",,1.360225,
"CCUS","TUR","M","2002-03","NATUSD","0",,1.361238,
"CCUS","TUR","M","2002-04","NATUSD","0",,1.324205,
"CCUS","TUR","M","2002-05","NATUSD","0",,1.397891,
"CCUS","TUR","M","2002-06","NATUSD","0",,1.5293,
"CCUS","TUR","M","2002-07","NATUSD","0",,1.657902,
"CCUS","TUR","M","2002-08","NATUSD","0",,1.6435,
"CCUS","TUR","M","2002-09","NATUSD","0",,1.654341,
"CCUS","TUR","M","2002-10","NATUSD","0",,1.656056,
"CCUS","TUR","M","2002-11","NATUSD","0",,1.609523,
"CCUS","TUR","M","2002-12","NATUSD","0",,1.579153,
"CCUS","TUR","M","2003-01","NATUSD","0",,1.663274,
"CCUS","TUR","M","2003-02","NATUSD","0",,1.631412,
"CCUS","TUR","M","2003-03","NATUSD","0",,1.66316,
"CCUS","TUR","M","2003-04","NATUSD","0",,1.629368,
"CCUS","TUR","M","2003-05","NATUSD","0",,1.492217,
"CCUS","TUR","M","2003-06","NATUSD","0",,1.42671,
"CCUS","TUR","M","2003-07","NATUSD","0",,1.403516,
"CCUS","TUR","M","2003-08","NATUSD","0",,1.404805,
"CCUS","TUR","M","2003-09","NATUSD","0",,1.3769,
"CCUS","TUR","M","2003-10","NATUSD","0",,1.432049,
"CCUS","TUR","M","2003-11","NATUSD","0",,1.472517,
"CCUS","TUR","M","2003-12","NATUSD","0",,1.434571,
"CCUS","TUR","M","2004-01","NATUSD","0",,1.348252,
"CCUS","TUR","M","2004-02","NATUSD","0",,1.329872,
"CCUS","TUR","M","2004-03","NATUSD","0",,1.319873,
"CCUS","TUR","M","2004-04","NATUSD","0",,1.359841,
"CCUS","TUR","M","2004-05","NATUSD","0",,1.510923,
"CCUS","TUR","M","2004-06","NATUSD","0",,1.493626,
"CCUS","TUR","M","2004-07","NATUSD","0",,1.456338,
"CCUS","TUR","M","2004-08","NATUSD","0",,1.479836,
"CCUS","TUR","M","2004-09","NATUSD","0",,1.497659,
"CCUS","TUR","M","2004-10","NATUSD","0",,1.482781,
"CCUS","TUR","M","2004-11","NATUSD","0",,1.443514,
"CCUS","TUR","M","2004-12","NATUSD","0",,1.38943,
"CCUS","TUR","M","2005-01","NATUSD","0",,1.348419,
"CCUS","TUR","M","2005-02","NATUSD","0",,1.307605,
"CCUS","TUR","M","2005-03","NATUSD","0",,1.3079,
"CCUS","TUR","M","2005-04","NATUSD","0",,1.354857,
